"rcrd_date","car_no","rcrd_time","lo_lgt","lo_ltt","lo_drc"
"2020-12-07",闽F02103D,"2020-12-07 08:03:54:122","117.018815","25.058022","269.559998"
"2020-12-07",闽F02103D,"2020-12-07 08:03:55:991","117.018592","25.058032","271.839996"
"2020-12-07",闽F02103D,"2020-12-07 08:03:58:313","117.018358","25.058062","272.269989"
"2020-12-07",闽F02103D,"2020-12-07 08:04:00:217","117.018143","25.058088","270.579987"
"2020-12-07",闽F02103D,"2020-12-07 08:04:02:142","117.017928","25.058080","270.019989"
"2020-12-07",闽F02103D,"2020-12-07 08:04:04:063","117.017737","25.058063","265.559998"
"2020-12-07",闽F02103D,"2020-12-07 08:04:07:264","117.017552","25.058078","266.679993"
"2020-12-07",闽F02103D,"2020-12-07 08:04:11:037","117.017343","25.058095","273.290009"
"2020-12-07",闽F02103D,"2020-12-07 08:04:13:110","117.017193","25.058107","276.350006"
"2020-12-07",闽F02103D,"2020-12-07 08:04:15:190","117.016997","25.058128","275.790009"
"2020-12-07",闽F02103D,"2020-12-07 08:04:17:087","117.016775","25.058113","272.420013"
"2020-12-07",闽F02103D,"2020-12-07 08:04:19:201","117.016595","25.058155","271.200012"
"2020-12-07",闽F02103D,"2020-12-07 08:04:21:080","117.016432","25.058152","270.809998"
"2020-12-07",闽F02103D,"2020-12-07 08:04:24:232","117.016267","25.058218","277.799988"
"2020-12-07",闽F02103D,"2020-12-07 08:04:26:143","117.016267","25.058218","266.519989"
"2020-12-07",闽F02103D,"2020-12-07 08:04:48:366","117.016118","25.058160","273.100006"
"2020-12-07",闽F02103D,"2020-12-07 08:04:51:087","117.015963","25.058135","263.109985"
"2020-12-07",闽F02103D,"2020-12-07 08:04:53:169","117.015867","25.058145","273.339996"
"2020-12-07",闽F02103D,"2020-12-07 08:04:56:077","117.015690","25.058167","273.959991"
"2020-12-07",闽F02103D,"2020-12-07 08:04:59:246","117.015522","25.058223","275.559998"
"2020-12-07",闽F02103D,"2020-12-07 08:05:01:194","117.015392","25.058243","287.170013"
"2020-12-07",闽F02103D,"2020-12-07 08:05:03:075","117.015293","25.058300","307.450012"
"2020-12-07",闽F02103D,"2020-12-07 08:05:04:326","117.015225","25.058312","323.429993"
"2020-12-07",闽F02103D,"2020-12-07 08:05:05:385","117.015208","25.058382","339.019989"
"2020-12-07",闽F02103D,"2020-12-07 08:05:07:276","117.015202","25.058535","354.760010"
"2020-12-07",闽F02103D,"2020-12-07 08:05:09:142","117.015205","25.058707","355.399994"
"2020-12-07",闽F02103D,"2020-12-07 08:05:11:243","117.015173","25.058873","345.140015"
"2020-12-07",闽F02103D,"2020-12-07 08:05:13:353","117.015137","25.059048","351.420013"
"2020-12-07",闽F02103D,"2020-12-07 08:05:15:455","117.015130","25.059270","0.460000"
"2020-12-07",闽F02103D,"2020-12-07 08:05:17:348","117.015142","25.059488","3.290000"
"2020-12-07",闽F02103D,"2020-12-07 08:05:19:251","117.015127","25.059682","2.410000"
"2020-12-07",闽F02103D,"2020-12-07 08:05:21:335","117.015145","25.059882","0.190000"
"2020-12-07",闽F02103D,"2020-12-07 08:05:23:226","117.015157","25.060063","358.420013"
"2020-12-07",闽F02103D,"2020-12-07 08:05:25:309","117.015160","25.060218","359.200012"
"2020-12-07",闽F02103D,"2020-12-07 08:05:28:243","117.015180","25.060400","7.680000"
"2020-12-07",闽F02103D,"2020-12-07 08:05:30:342","117.015180","25.060400","354.160004"
"2020-12-07",闽F02103D,"2020-12-07 08:05:41:239","117.015180","25.060400","341.510010"
"2020-12-07",闽F02103D,"2020-12-07 08:05:43:332","117.015212","25.060572","348.929993"
"2020-12-07",闽F02103D,"2020-12-07 08:05:45:202","117.015192","25.060740","357.700012"
"2020-12-07",闽F02103D,"2020-12-07 08:05:47:286","117.015187","25.060953","356.790009"
"2020-12-07",闽F02103D,"2020-12-07 08:05:49:379","117.015162","25.061155","359.230011"
"2020-12-07",闽F02103D,"2020-12-07 08:05:51:460","117.015155","25.061353","357.040009"
"2020-12-07",闽F02103D,"2020-12-07 08:05:53:370","117.015152","25.061567","359.959991"
"2020-12-07",闽F02103D,"2020-12-07 08:05:55:251","117.015153","25.061770","0.170000"
"2020-12-07",闽F02103D,"2020-12-07 08:05:57:345","117.015142","25.061970","0.460000"
"2020-12-07",闽F02103D,"2020-12-07 08:05:59:235","117.015152","25.062147","2.680000"
"2020-12-07",闽F02103D,"2020-12-07 08:06:01:317","117.015148","25.062317","358.959991"
"2020-12-07",闽F02103D,"2020-12-07 08:06:03:419","117.015143","25.062458","0.750000"
"2020-12-07",闽F02103D,"2020-12-07 08:06:06:353","117.015142","25.062630","359.700012"
"2020-12-07",闽F02103D,"2020-12-07 08:06:10:347","117.015145","25.062773","357.190002"
"2020-12-07",闽F02103D,"2020-12-07 08:06:12:453","117.015145","25.062773","345.649994"
"2020-12-07",闽F02103D,"2020-12-07 08:06:49:403","117.015145","25.062773","11.010000"
"2020-12-07",闽F02103D,"2020-12-07 08:06:52:520","117.015128","25.062910","359.250000"
"2020-12-07",闽F02103D,"2020-12-07 08:06:56:524","117.015142","25.063075","357.660004"
"2020-12-07",闽F02103D,"2020-12-07 08:06:59:438","117.015142","25.063230","0.110000"
"2020-12-07",闽F02103D,"2020-12-07 08:07:02:401","117.015145","25.063400","358.339996"
"2020-12-07",闽F02103D,"2020-12-07 08:07:05:546","117.015142","25.063585","358.570007"
"2020-12-07",闽F02103D,"2020-12-07 08:07:07:412","117.015143","25.063725","0.360000"
"2020-12-07",闽F02103D,"2020-12-07 08:07:09:522","117.015142","25.063877","358.500000"
"2020-12-07",闽F02103D,"2020-12-07 08:07:11:402","117.015142","25.064012","359.559998"
"2020-12-07",闽F02103D,"2020-12-07 08:07:13:496","117.015143","25.064147","0.190000"
