rcrd_date,car_no,rcrd_time,lo_lgt,lo_ltt,lo_drc,r_num
2020-12-07,闽F02199D,2020-12-07 07:35:52:147,117.02286000000001,25.070487,178.699997,1
2020-12-07,闽F02199D,2020-12-07 07:35:53:001,117.02286200000002,25.070385,178.41000400000001,1
2020-12-07,闽F02199D,2020-12-07 07:35:54:046,117.022857,25.07029,177.929993,1
2020-12-07,闽F02199D,2020-12-07 07:35:55:087,117.02285,25.070193,181.059998,1
2020-12-07,闽F02199D,2020-12-07 07:35:56:147,117.022848,25.070098,180.020004,1
2020-12-07,闽F02199D,2020-12-07 07:35:57:179,117.02287700000001,25.069993,181.220001,1
2020-12-07,闽F02199D,2020-12-07 07:35:58:009,117.022873,25.069903,180.720001,1
2020-12-07,闽F02199D,2020-12-07 07:36:00:103,117.022873,25.069735,178.600006,1
2020-12-07,闽F02199D,2020-12-07 07:36:02:190,117.02287,25.069582,179.53999299999998,1
2020-12-07,闽F02199D,2020-12-07 07:36:04:133,117.022878,25.069445,177.96000700000002,1
2020-12-07,闽F02199D,2020-12-07 07:36:06:014,117.02288700000001,25.069312,182.649994,1
2020-12-07,闽F02199D,2020-12-07 07:36:08:124,117.02288700000001,25.069195,179.08999599999999,1
2020-12-07,闽F02199D,2020-12-07 07:36:10:031,117.022888,25.069103,178.78999299999998,1
2020-12-07,闽F02199D,2020-12-07 07:36:12:148,117.022888,25.069103,171.029999,1
2020-12-07,闽F02199D,2020-12-07 07:36:42:139,117.022888,25.069103,184.190002,1
2020-12-07,闽F02199D,2020-12-07 07:36:43:179,117.022952,25.068932999999998,184.380005,1
2020-12-07,闽F02199D,2020-12-07 07:36:44:008,117.022948,25.068892,190.08999599999999,1
2020-12-07,闽F02199D,2020-12-07 07:36:45:044,117.02294499999999,25.068847,182.440002,1
2020-12-07,闽F02199D,2020-12-07 07:36:47:167,117.02294499999999,25.068753,185.100006,1
2020-12-07,闽F02199D,2020-12-07 07:36:49:046,117.02294499999999,25.068693,167.949997,1
2020-12-07,闽F02199D,2020-12-07 07:36:52:150,117.022957,25.068613,175.53999299999998,1
2020-12-07,闽F02199D,2020-12-07 07:36:55:067,117.022947,25.068493,177.470001,1
2020-12-07,闽F02199D,2020-12-07 07:36:57:150,117.02293200000001,25.068397,179.350006,1
2020-12-07,闽F02199D,2020-12-07 07:36:59:029,117.022927,25.068275,178.600006,1
2020-12-07,闽F02199D,2020-12-07 07:37:00:077,117.022897,25.068175,180.100006,1
2020-12-07,闽F02199D,2020-12-07 07:37:02:160,117.022892,25.068038,180.279999,1
2020-12-07,闽F02199D,2020-12-07 07:37:04:090,117.02288700000001,25.067898,180.809998,1
2020-12-07,闽F02199D,2020-12-07 07:37:05:135,117.022875,25.067763,182.429993,1
2020-12-07,闽F02199D,2020-12-07 07:37:08:097,117.02286799999999,25.067558,179.759995,1
2020-12-07,闽F02199D,2020-12-07 07:37:11:049,117.02286699999999,25.06741,180.479996,1
2020-12-07,闽F02199D,2020-12-07 07:37:13:147,117.02286299999999,25.067268,180.71000700000002,1
2020-12-07,闽F02199D,2020-12-07 07:37:14:204,117.02286200000002,25.067125,181.71000700000002,1
2020-12-07,闽F02199D,2020-12-07 07:37:17:135,117.02286000000001,25.066878,183.119995,1
2020-12-07,闽F02199D,2020-12-07 07:37:20:069,117.022852,25.066645,182.899994,1
2020-12-07,闽F02199D,2020-12-07 07:37:23:067,117.02287199999999,25.066502,180.729996,1
2020-12-07,闽F02199D,2020-12-07 07:37:26:224,117.02287,25.066453,170.770004,1
